nose_x,nose_y,nose_z,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z,left_ear_x,left_ear_y,left_ear_z,right_ear_x,right_ear_y,right_ear_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,label
0.446137,0.51757,-0.847309,0.47949,0.473116,-0.792967,0.411086,0.469748,-0.802941,0.51321,0.504737,-0.441859,0.385241,0.496517,-0.482245,0.610454,0.746152,-0.187507,0.289575,0.769227,-0.334242,0
0.445982,0.518095,-0.841883,0.479709,0.473809,-0.786281,0.411181,0.469613,-0.799971,0.513013,0.504755,-0.431791,0.385224,0.495783,-0.4884,0.605742,0.7508,-0.172202,0.281764,0.768103,-0.339195,0
0.447062,0.523411,-0.870643,0.47976,0.479046,-0.8173,0.411323,0.472856,-0.830414,0.510953,0.50626,-0.462078,0.384586,0.498008,-0.519265,0.599021,0.754037,-0.202754,0.276993,0.768986,-0.350825,0
0.447353,0.525272,-0.843244,0.479445,0.482374,-0.784988,0.411249,0.475547,-0.802611,0.50713,0.507853,-0.420536,0.382501,0.500185,-0.494237,0.591558,0.756278,-0.142463,0.273579,0.767205,-0.339771,0
0.445417,0.52463,-0.800863,0.477541,0.483025,-0.746091,0.408823,0.475094,-0.757968,0.502239,0.508363,-0.403442,0.37883,0.499984,-0.450055,0.587413,0.757952,-0.170569,0.266015,0.765867,-0.301897,0
0.438347,0.523928,-0.800849,0.473128,0.482876,-0.748096,0.402172,0.475004,-0.757774,0.497643,0.508452,-0.406718,0.375293,0.500016,-0.445674,0.586469,0.758185,-0.168235,0.26379,0.763744,-0.297609,0
0.435675,0.523969,-0.822241,0.471399,0.482477,-0.769357,0.399656,0.475163,-0.778287,0.496613,0.508342,-0.427783,0.374118,0.500342,-0.461057,0.586731,0.756418,-0.183692,0.263351,0.763998,-0.303911,0
0.435626,0.533049,-0.78379,0.47129,0.489228,-0.739845,0.399878,0.483572,-0.744963,0.496857,0.511686,-0.418905,0.374164,0.505474,-0.435797,0.590114,0.758103,-0.155584,0.26306,0.764664,-0.279854,0
0.434321,0.537352,-0.765055,0.470618,0.492865,-0.724375,0.39991,0.488523,-0.727001,0.496876,0.514122,-0.415246,0.374197,0.508863,-0.420319,0.591551,0.759405,-0.165763,0.264117,0.763078,-0.265886,0
0.434316,0.543565,-0.839342,0.470539,0.49786,-0.79233,0.400137,0.495278,-0.800594,0.496951,0.516451,-0.45367,0.374224,0.51241,-0.482312,0.592849,0.76087,-0.196407,0.264045,0.767107,-0.305392,0
0.433618,0.544751,-0.834397,0.470077,0.49862,-0.789189,0.400077,0.49681,-0.794359,0.49711,0.517037,-0.450624,0.374226,0.513793,-0.466015,0.593526,0.762356,-0.188201,0.264312,0.76584,-0.28407,0
0.43259,0.544768,-0.769753,0.469473,0.498591,-0.732773,0.399399,0.497058,-0.736881,0.496999,0.51712,-0.426536,0.374144,0.51421,-0.430446,0.593913,0.762095,-0.192047,0.264294,0.767389,-0.251641,0
0.432242,0.5441,-0.78029,0.46902,0.498277,-0.740119,0.399144,0.496709,-0.741554,0.496939,0.517118,-0.42859,0.374128,0.514295,-0.430782,0.594255,0.761193,-0.193109,0.264389,0.769487,-0.251678,0
0.431853,0.543565,-0.800101,0.468603,0.498065,-0.755149,0.398707,0.496156,-0.756986,0.496871,0.517106,-0.431964,0.374042,0.514295,-0.432919,0.59467,0.76076,-0.20172,0.264357,0.771549,-0.268706,0
0.43177,0.543623,-0.81002,0.468443,0.497998,-0.762516,0.398656,0.496083,-0.767937,0.496875,0.517097,-0.433027,0.374011,0.5143,-0.444638,0.59504,0.760549,-0.194919,0.264688,0.772684,-0.279807,0
0.431873,0.543481,-0.788348,0.468292,0.497354,-0.743992,0.39881,0.495868,-0.749121,0.496884,0.517005,-0.423236,0.374097,0.514341,-0.435478,0.596515,0.760095,-0.191881,0.26542,0.772682,-0.27072,0
0.432023,0.543186,-0.777957,0.468217,0.496577,-0.731916,0.398893,0.495521,-0.738995,0.497009,0.516912,-0.407162,0.37412,0.514451,-0.431561,0.597184,0.760077,-0.183482,0.26563,0.77169,-0.275415,0
0.432423,0.542561,-0.782711,0.468183,0.495824,-0.737491,0.399141,0.495001,-0.743599,0.497079,0.516815,-0.413184,0.374199,0.514496,-0.432527,0.597428,0.760186,-0.186453,0.265971,0.771485,-0.275174,0
0.436343,0.537846,-0.810074,0.46872,0.493377,-0.757209,0.400171,0.49102,-0.766171,0.497069,0.516442,-0.419855,0.37419,0.513796,-0.450357,0.596681,0.760282,-0.189013,0.265667,0.773504,-0.297611,0
0.447451,0.53607,-0.841641,0.471068,0.492559,-0.78162,0.405664,0.489013,-0.799893,0.496825,0.517046,-0.414833,0.373884,0.513485,-0.484176,0.594765,0.766075,-0.162142,0.263335,0.775498,-0.313426,0
